epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.038,1.02884,1.63482,0.98251,0.98063,0.3919,0.83798,0.6161,0.89779,2.42583,0.92024,0.000657778,0.000657778,0.000657778
2,587.233,1.00555,1.04652,1.00744,0.86123,0.887,0.90071,0.66997,0.87802,1.07014,0.94846,0.00130258,0.00130258,0.00130258
3,1222.93,0.9819,0.91522,0.99073,0.88825,0.88595,0.93463,0.68855,0.94048,0.94921,0.98492,0.00191653,0.00191653,0.00191653
4,1780.31,0.96946,0.80623,0.9853,0.91612,0.91302,0.96199,0.73418,0.82875,0.71717,0.96565,0.0018812,0.0018812,0.0018812
5,2333.17,0.92252,0.7105,0.96906,0.90784,0.94272,0.94944,0.75567,0.79402,0.72118,0.93031,0.0018416,0.0018416,0.0018416
6,3067.65,0.92775,0.66036,0.96295,0.90323,0.95201,0.96144,0.75822,0.81666,0.64532,0.94336,0.001802,0.001802,0.001802
7,3618.42,0.90122,0.63429,0.96163,0.90982,0.93701,0.9619,0.75039,0.82757,0.62501,0.95835,0.0017624,0.0017624,0.0017624
8,4164.23,0.89176,0.6056,0.96684,0.89662,0.95319,0.95653,0.75691,0.77261,0.68303,0.92248,0.0017228,0.0017228,0.0017228
9,4720.13,0.88008,0.59149,0.95924,0.93983,0.94293,0.97541,0.79157,0.75271,0.54912,0.91637,0.0016832,0.0016832,0.0016832
10,9301.25,0.85521,0.57171,0.94712,0.9291,0.95341,0.96832,0.78505,0.75095,0.54348,0.91953,0.0016436,0.0016436,0.0016436
11,9940.97,0.85342,0.56465,0.94801,0.90261,0.96124,0.97262,0.79087,0.74385,0.55207,0.91942,0.001604,0.001604,0.001604
12,10561.1,0.83287,0.54535,0.93814,0.91834,0.95666,0.95783,0.75942,0.7972,0.54844,0.94599,0.0015644,0.0015644,0.0015644
13,11101.9,0.85102,0.53313,0.94084,0.91717,0.95994,0.96522,0.78971,0.73334,0.52927,0.91252,0.0015248,0.0015248,0.0015248
14,11640,0.8298,0.52519,0.9426,0.92182,0.96285,0.96088,0.78862,0.73118,0.51954,0.90955,0.0014852,0.0014852,0.0014852
15,12184.4,0.84878,0.5345,0.94936,0.92622,0.93963,0.96755,0.79214,0.72809,0.51046,0.91365,0.0014456,0.0014456,0.0014456
